date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:35	182042/182042	---M--	200	added ('OK')	image/jpeg	etag:%2258c7ff84-2c71a%22	http://kvest.kwst.net/site/images/resume/1.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/resume/1.jpg	(from http://kvest.kwst.net/site/about.html)
00:49:55	280469/280469	---M--	200	added ('OK')	image/jpeg	etag:%2258da4330-44795%22	http://kvest.kwst.net/site/images/folio/3.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/3.jpg	(from http://kvest.kwst.net/site/about.html)
00:49:55	197851/197851	---M--	200	added ('OK')	image/jpeg	etag:%2258e48b30-304db%22	http://kvest.kwst.net/site/images/resume/2.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/resume/2.jpg	(from http://kvest.kwst.net/site/about.html)
00:50:18	258927/258927	---M--	200	added ('OK')	image/jpeg	etag:%2258da4310-3f36f%22	http://kvest.kwst.net/site/images/services/2.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/services/2.jpg	(from http://kvest.kwst.net/site/about.html)
00:50:19	3784/3784	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sun,%2017%20Nov%202019%2023:51:54%20GMT	http://kvest.kwst.net/site/contact.html	c:/temp/pfsem2/sem/kvest.kwst.net/site/contact.42.delayed	(from http://kvest.kwst.net/site/about.html)
00:50:20	307337/307337	---M--	200	added ('OK')	image/jpeg	etag:%2258da431c-4b089%22	http://kvest.kwst.net/site/images/services/1.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/services/1.jpg	(from http://kvest.kwst.net/site/about.html)
00:50:21	11514/11514	---M--	200	added ('OK')	image/jpeg	etag:%2257b1bec4-2cfa%22	http://kvest.kwst.net/site/images/testim/1.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/testim/1.jpg	(from http://kvest.kwst.net/site/about.html)
00:50:21	4820/4820	---M--	200	added ('OK')	image/jpeg	etag:%2257b1bf08-12d4%22	http://kvest.kwst.net/site/images/testim/2.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/testim/2.jpg	(from http://kvest.kwst.net/site/about.html)
00:50:23	185115/185115	---M--	200	added ('OK')	image/jpeg	etag:%2258da432a-2d31b%22	http://kvest.kwst.net/site/images/services/3.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/services/3.jpg	(from http://kvest.kwst.net/site/about.html)
00:50:26	18925/18925	---M--	200	added ('OK')	image/jpeg	etag:%2257b1c2a0-49ed%22	http://kvest.kwst.net/site/images/testim/3.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/testim/3.jpg	(from http://kvest.kwst.net/site/about.html)
00:50:26	17912/17912	---M--	200	added ('OK')	image/png	etag:%2257b05700-45f8%22	http://kvest.kwst.net/site/images/clients/1.png	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/clients/1.png	(from http://kvest.kwst.net/site/about.html)
00:50:28	270238/270238	---M--	200	added ('OK')	image/jpeg	etag:%2258da430a-41f9e%22	http://kvest.kwst.net/site/images/services/4.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/services/4.jpg	(from http://kvest.kwst.net/site/about.html)
00:50:29	18247/18247	---M--	200	added ('OK')	image/png	etag:%2257b05706-4747%22	http://kvest.kwst.net/site/images/clients/2.png	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/clients/2.png	(from http://kvest.kwst.net/site/about.html)
00:50:29	13460/13460	---M--	200	added ('OK')	image/png	etag:%2257b056fc-3494%22	http://kvest.kwst.net/site/images/clients/3.png	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/clients/3.png	(from http://kvest.kwst.net/site/about.html)
00:50:30	15552/15552	---M--	200	added ('OK')	image/png	etag:%2257b05712-3cc0%22	http://kvest.kwst.net/site/images/clients/4.png	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/clients/4.png	(from http://kvest.kwst.net/site/about.html)
00:51:03	204139/204139	---M--	200	added ('OK')	image/jpeg	etag:%2258da283a-31d6b%22	http://kvest.kwst.net/site/images/folio/19.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/19.jpg	(from http://kvest.kwst.net/site/portfolio.html)
00:51:21	322219/322219	---M--	200	added ('OK')	image/jpeg	etag:%2258da433a-4eaab%22	http://kvest.kwst.net/site/images/folio/1.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/1.jpg	(from http://kvest.kwst.net/site/portfolio.html)
00:51:30	376821/376821	---M--	200	added ('OK')	image/jpeg	etag:%2258da4336-5bff5%22	http://kvest.kwst.net/site/images/folio/2.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/2.jpg	(from http://kvest.kwst.net/site/portfolio.html)
00:51:38	421838/421838	---M--	200	added ('OK')	image/jpeg	etag:%2258da4326-66fce%22	http://kvest.kwst.net/site/images/folio/5.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/5.jpg	(from http://kvest.kwst.net/site/portfolio.html)
00:51:54	314840/314840	---M--	200	added ('OK')	image/jpeg	etag:%2258da4322-4cdd8%22	http://kvest.kwst.net/site/images/folio/6.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/6.jpg	(from http://kvest.kwst.net/site/portfolio.html)
00:52:02	252669/252669	---M--	200	added ('OK')	image/jpeg	etag:%2258da4314-3dafd%22	http://kvest.kwst.net/site/images/folio/9.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/9.jpg	(from http://kvest.kwst.net/site/portfolio.html)
00:52:18	292827/292827	---M--	200	added ('OK')	image/jpeg	etag:%2258da4318-477db%22	http://kvest.kwst.net/site/images/folio/8.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/8.jpg	(from http://kvest.kwst.net/site/portfolio.html)
00:52:21	270238/270238	---M--	200	added ('OK')	image/jpeg	etag:%2258da430a-41f9e%22	http://kvest.kwst.net/site/images/folio/11.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/11.jpg	(from http://kvest.kwst.net/site/portfolio.html)
00:52:43	307337/307337	---M--	200	added ('OK')	image/jpeg	etag:%2258da431c-4b089%22	http://kvest.kwst.net/site/images/folio/7.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/7.jpg	(from http://kvest.kwst.net/site/portfolio.html)
00:53:07	410859/410859	---M--	200	added ('OK')	image/jpeg	etag:%2258da42fe-644eb%22	http://kvest.kwst.net/site/images/folio/17.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/17.jpg	(from http://kvest.kwst.net/site/portfolio.html)
00:53:12	325986/325986	---M--	200	added ('OK')	image/jpeg	etag:%2258d7b19c-4f962%22	http://kvest.kwst.net/site/images/bg/6.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/6.jpg	(from http://kvest.kwst.net/site/portfolio.html)
